dataset_version,version_description,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_weighted_mean,roc_auc_mean
V4,V3 plus PCA retaining 95% explained variance.,0.7830225675065015,0.6742241451316001,0.1200465813245919,0.5536923076923077,0.8386720679952596,0.7717032197809832
V3,V2 plus SMOTE applied inside each training fold.,0.8018088719837919,0.6497441610937755,0.11218799899724001,0.48128205128205137,0.8500312124479672,0.7730839767703521
V1,Median numeric imputation + most-frequent categorical imputation + one-hot encoding.,0.9502936678707059,0.5028185017696586,0.07904761904761905,0.007076923076923076,0.9276586397579477,0.7660279542940212
V2,V1 plus standard scaling for numerical features.,0.9504405466956755,0.5023957546772457,0.08266666666666667,0.006025641025641027,0.927670472926773,0.7380180508483851
