dataset_version,model,combo,best_cv_balanced_accuracy,best_cv_balanced_accuracy_std,best_cv_recall,best_cv_recall_std,best_cv_roc_auc,best_cv_precision,best_cv_weighted_f1,best_params,accuracy,balanced_accuracy,precision,recall,f1_weighted,f1_macro,roc_auc,tn,fp,fn,tp,stroke_precision_classification_report,stroke_recall_classification_report,stroke_f1_classification_report,pca_n_components,pca_total_variance_retained
V4,LogisticRegression,V4_LogisticRegression,0.7627055263687655,0.00933813212214718,0.788974358974359,0.011562652703471269,0.8329339398298267,0.13304669154705878,0.8129666394145684,"{""classifier__C"": 5.0, ""classifier__class_weight"": null, ""classifier__solver"": ""lbfgs""}",0.7524461839530333,0.775,0.1413427561837456,0.8,0.8221971979127533,0.5461867478232177,0.84440329218107,729,243,10,40,0.1413427561837456,0.8,0.24024024024024024,11.0,0.9674
V3,LogisticRegression,V3_LogisticRegression,0.756498788330408,0.027097076533799037,0.7688461538461538,0.04293934072908573,0.8383625988060436,0.13374488659011302,0.8173224299176137,"{""classifier__C"": 0.1, ""classifier__class_weight"": null, ""classifier__solver"": ""lbfgs""}",0.7514677103718199,0.774485596707819,0.14084507042253522,0.8,0.8215235817375447,0.545491473193963,0.8443004115226338,728,244,10,40,0.14084507042253522,0.8,0.23952095808383234,,
V3,AdaBoost,V3_AdaBoost,0.763910586622669,0.0236826632103773,0.8443589743589743,0.03623785475201684,0.8190252202752202,0.12047648392566364,0.7789370451534554,"{""classifier__learning_rate"": 0.5, ""classifier__n_estimators"": 50}",0.7025440313111546,0.7677366255144034,0.1242603550295858,0.84,0.7870743245199076,0.5164599830668858,0.8336728395061729,676,296,8,42,0.1242603550295858,0.84,0.21649484536082475,,
V4,AdaBoost,V4_AdaBoost,0.7636218798108259,0.031246640189737038,0.8193589743589744,0.05505570665223532,0.8075349242572895,0.12626265296708059,0.7947250109405528,"{""classifier__learning_rate"": 1.0, ""classifier__n_estimators"": 100}",0.7299412915851272,0.7631687242798354,0.13071895424836602,0.8,0.8065626664418524,0.530605996059428,0.829187242798354,706,266,10,40,0.13071895424836602,0.8,0.2247191011235955,11.0,0.9674
